(-12.61, -11.81)  -  175
(-11.02, -6.71)  -  176
(-12.40, -5.99)  -  177
(-14.79, -5.91)  -  178
(-12.02, -11.57)  -  179
(-10.61, -8.56)  -  180
(-7.95, -12.05)  -  181
(-10.37, -14.05)  -  182
(-12.86, -11.89)  -  183
(-10.19, -7.88)  -  184
(-8.35, -11.61)  -  185
(-7.27, -8.72)  -  186
(-9.43, -5.40)  -  187
(-14.98, -10.26)  -  188
(-14.88, -8.19)  -  189
(-10.33, -8.19)  -  190
(-9.94, -15.70)  -  191
(-11.81, -13.73)  -  192
(-13.78, -5.71)  -  193
(-11.54, -7.10)  -  194
(-8.53, -0.78)  -  195
(-14.77, -11.40)  -  196
(-10.47, -11.30)  -  197
(-11.77, -15.82)  -  198
(-7.32, -4.40)  -  199
(-9.71, -5.87)  -  200
(-7.55, -14.89)  -  201
(-14.83, -6.75)  -  202
(-10.32, -7.68)  -  203
(-10.65, -5.24)  -  204
(-8.48, -5.71)  -  205
(-7.56, -11.64)  -  206
(-15.61, -11.30)  -  207
(-9.49, -12.92)  -  208
(-5.49, -8.05)  -  209
(-13.47, -13.25)  -  210
(-14.43, -14.09)  -  211
(-10.44, -2.10)  -  212
(-5.37, -8.55)  -  213
(-14.28, -11.71)  -  214
(-11.20, -8.00)  -  215
(-9.80, -15.42)  -  216
(-11.11, -14.37)  -  217
(-9.67, -9.21)  -  218
(-13.64, -9.70)  -  219
(-8.27, -7.53)  -  220
(-12.28, -7.40)  -  221
(-7.21, -10.39)  -  222
(-12.83, -10.50)  -  223
(-14.08, -13.41)  -  224
(-8.49, -10.57)  -  225
(-11.23, -5.42)  -  226
(-8.58, -7.74)  -  227
(-15.98, -9.32)  -  228
(-12.62, -6.94)  -  229
(-11.50, -7.46)  -  230
(-14.49, -14.38)  -  231
(-15.95, -9.82)  -  232
(-10.34, -12.72)  -  233
(-10.63, -3.07)  -  234
(-12.80, -6.70)  -  235
(-11.67, -12.31)  -  236
(-15.28, -10.57)  -  237
(-14.52, -6.15)  -  238
(-14.38, -10.80)  -  239
(-7.01, -4.54)  -  240
(-12.34, -8.67)  -  241
(-11.07, -7.92)  -  242
(-5.13, -13.91)  -  243
(-11.64, -5.65)  -  244
(-13.81, -8.43)  -  245
(-10.34, -3.71)  -  246
(-5.33, -4.89)  -  247
(-7.34, -8.65)  -  248
(-6.90, -9.86)  -  249
(-12.35, -6.03)  -  250
(-11.50, -3.01)  -  251
(-15.35, -4.66)  -  252
(-6.65, -10.31)  -  253
(-9.33, -10.54)  -  254
(-14.11, -14.64)  -  255
(-7.59, -6.58)  -  256
(-11.69, -12.76)  -  257
(-5.23, -9.29)  -  258
(-11.03, -14.22)  -  259
(-13.05, -11.72)  -  260
(-9.25, -3.19)  -  261
(-8.21, -14.02)  -  262
(-8.49, -4.15)  -  263
(-11.97, -0.87)  -  264
(-14.08, -12.71)  -  265
(-8.70, -12.99)  -  266
(-7.89, -12.53)  -  267
(-5.89, -4.45)  -  268
(-12.03, -6.51)  -  269
(-14.20, -3.61)  -  270
(-15.25, -14.92)  -  271
(-7.33, -4.68)  -  272
(-10.83, -10.32)  -  273
(-12.38, -5.45)  -  274
(-9.25, -5.20)  -  275
(-4.60, -9.87)  -  276
(-9.87, -12.71)  -  277
(-15.51, -4.34)  -  278
(-11.15, -14.26)  -  279
(-15.58, -12.93)  -  280
(-11.97, -8.14)  -  281
(-13.17, -2.29)  -  282
(-13.70, -6.57)  -  283
(-6.54, -7.84)  -  284
(-12.01, -6.54)  -  285
(-7.62, -6.47)  -  286
(-12.93, -8.34)  -  287
(-6.08, -9.67)  -  288
(-14.97, -2.23)  -  289
(-8.68, -7.71)  -  290
(-7.03, -9.73)  -  291
(-14.94, -8.60)  -  292
(-10.50, -2.02)  -  293
(-13.99, -11.55)  -  294
(-14.17, -5.50)  -  295
(-11.95, -7.50)  -  296
(-13.72, -10.16)  -  297
(-15.21, -2.26)  -  298
(-13.39, -15.64)  -  299
(-6.82, -14.76)  -  300
(-8.80, -4.09)  -  301
(-11.38, -3.79)  -  302
(-14.35, -3.87)  -  303
(-12.53, -9.32)  -  304
(-4.13, -3.64)  -  305
(-10.99, -8.21)  -  306
(-11.91, -13.95)  -  307
(-9.82, -6.56)  -  308
(-7.38, -5.42)  -  309
(-10.05, -5.17)  -  310
(-14.87, -10.52)  -  311
(-10.66, -6.83)  -  312
(-15.67, -9.55)  -  313
(-11.63, -9.35)  -  314
(-5.75, -4.81)  -  315
(-4.43, -8.22)  -  316
(-8.23, -6.39)  -  317
(-4.49, -8.93)  -  318
(-8.06, -11.45)  -  319
(-7.88, -8.36)  -  320
(-10.78, -3.23)  -  321
(-13.85, -4.37)  -  322
(-9.69, -2.47)  -  323
(-4.49, -4.61)  -  324
(-13.88, -9.73)  -  325
(-8.40, -14.45)  -  326
(-9.17, -1.94)  -  327
(-10.00, -8.00)  -  328
